text,label
"Hi Support, I'm getting a 500 error every time I try to export a report to PDF. Started yesterday after the update. Happens on Chrome and Safari.",bug_report
"the dashboard just went blank. refreshed three times. nothing.",bug_report
"2 stars — app crashes constantly on iPhone 15. Loses my work every time.",bug_report
"Submitting this via Zendesk because the in-app help chat isn't loading either. The notifications badge shows 12 unread but there are no messages when I open it.",bug_report
"CSV export producing scrambled column headers since last Tuesday. Every file is unusable.",bug_report
"API returning 401 with a valid token. Double-checked the auth headers. This broke sometime in the last 24 hours.",bug_report
"my saved filters disappear every time i refresh the page?? this has been happening for a week",bug_report
"Charts are showing last week's numbers. I've cleared cache, tried incognito, still wrong data.",bug_report
"The search bar returns nothing even when I type an exact project name. Search is completely broken for me.",bug_report
"Bulk delete says 'success' but nothing actually gets deleted. Tried on three different projects.",bug_report
"Two-factor codes aren't being accepted. I've confirmed the time sync on my authenticator app. Still locked out.",bug_report
"Getting a CORS error when calling the API from our internal tool. Token is valid. Endpoint: /api/v2/reports.",bug_report
"the undo button is deleting things i didn't undo?? it went back like 4 steps when i only clicked once",bug_report
"Password reset link expired before I could use it. I'm on mobile and it takes me more than 10 minutes to get back to a laptop.",bug_report
"Exporting more than 500 rows silently fails. No error message. Just an empty file.",bug_report
"Dark mode isn't applied to the settings screens — they stay light even with dark mode on everywhere else.",bug_report
"The autocomplete in the search field is pulling up results from a different team's workspace. That's a data leak.",bug_report
"sorting by date shows oldest first even when i pick newest. completely backwards.",bug_report
"The in-app chat widget disappears when I resize the browser window below 1200px.",bug_report
"I accidentally deleted a project. No confirmation dialog, no undo, no recovery. It's just gone.",bug_report
"Integrations page takes 45+ seconds to load. The rest of the app is fine.",bug_report
"Comment field cuts off at 140 characters with no warning. Lost a long note because of this.",bug_report
"The onboarding checklist still shows incomplete even though I finished every step three days ago.",bug_report
"Invite link shows as active in my dashboard but my colleague says it expired when she clicked it.",bug_report
"I'm being charged twice for the same subscription. Two identical line items on my latest invoice.",bug_report
"Map view on mobile won't zoom in past a certain level. Makes it unusable on phone.",bug_report
"Keyboard shortcuts stopped working after the update last Thursday. Cmd+K, Cmd+S — all dead.",bug_report
